Acct,Policy,Pol_Eff_Dt,Pol_Exp_Dt,UAR,State,Lat Long,Premium,Exposure,Claim,Profitability,Agency,Hail Risk Score,Tornado Risk Score,Earthquake risk score,City,INS_SCORE,Renewal_Cd,Average Conversion Time,Conversion Rate,Scores
11B5W398,P81B6A2600,07/06/19,07/06/20,5,NY,40.6635°N 73.9387°W,4470,45000,316,4154,85V,17,7,20,New York,481,N,42.0,68.0,0.5152566808474455
11B5W398,P81B6A2600,07/06/19,07/06/20,5,NY,40.6635°N 73.9387°W,4470,45000,316,4154,85V,41,34,5,Buffalo,481,N,42.0,68.0,0.38976785221975047
11B5W398,P81B6A2600,07/06/19,07/06/20,5,NY,40.6635°N 73.9387°W,4470,45000,316,4154,85V,33,2,26,Rochester,481,N,42.0,68.0,0.9108984777054138
11B5W398,P81B6A2600,07/06/19,07/06/20,5,NY,40.6635°N 73.9387°W,4470,45000,316,4154,85V,19,44,48,Yonkers,481,N,42.0,68.0,0.27189204138877643
11B5W398,P81B6A2600,07/06/19,07/06/20,5,NY,40.6635°N 73.9387°W,4470,45000,316,4154,85V,30,16,41,Syracuse,481,N,42.0,68.0,0.4772473773338332
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,6,40,15,Los Angeles,338,Y,42.0,68.0,0.3116282112453422
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,1,24,27,San Diego,338,Y,42.0,68.0,0.7357520234286796
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,2,9,25,San Jose,338,Y,42.0,68.0,0.21294831038352796
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,15,4,34,San Francisco,338,Y,42.0,68.0,0.792315565090554
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,48,23,18,Fresno,338,Y,42.0,68.0,0.286457045654227
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,39,37,37,Sacramento,338,Y,42.0,68.0,0.27648400368789566
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,15,32,43,Long Beach,338,Y,42.0,68.0,0.6893606644426213
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,41,30,44,Oakland,338,Y,42.0,68.0,0.5640934112424286
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,48,5,15,Bakersfield,338,Y,42.0,68.0,0.0613133206000005
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,45,42,21,Anaheim,338,Y,42.0,68.0,0.6225943632388282
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,9,5,14,Santa Ana,338,Y,42.0,68.0,0.16095985048804462
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,35,20,21,Riverside,338,Y,42.0,68.0,0.3696662190591291
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,44,34,10,Stockton,338,Y,42.0,68.0,0.5768455437146958
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,12,43,34,Irvine,338,Y,42.0,68.0,0.6389186079697512
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,2,31,31,Chula Vista,338,Y,42.0,68.0,0.27516332797484927
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,37,3,35,Fremont,338,Y,42.0,68.0,0.8003504914790663
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,14,16,48,San Bernardino,338,Y,42.0,68.0,0.06006452018329467
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,30,7,39,Modesto,338,Y,42.0,68.0,0.967244100426977
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,10,1,16,Fontana,338,Y,42.0,68.0,0.5043188690856586
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,6,6,10,Moreno Valley,338,Y,42.0,68.0,0.3896896555387747
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,42,7,50,Santa Clarita,338,Y,42.0,68.0,0.9103677485341655
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,33,1,9,Oxnard,338,Y,42.0,68.0,0.8012651860106268
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,9,18,37,Glendale,338,Y,42.0,68.0,0.34837737303452226
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,35,50,50,Huntington Beach,338,Y,42.0,68.0,0.21684104164237536
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,7,43,1,Ontario,338,Y,42.0,68.0,0.4243943687284085
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,44,31,50,Rancho Cucamonga,338,Y,42.0,68.0,0.16013436913141124
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,50,48,18,Santa Rosa,338,Y,42.0,68.0,0.7042092035344493
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,5,21,15,Oceanside,338,Y,42.0,68.0,0.0899782778200776
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,45,37,19,Elk Grove,338,Y,42.0,68.0,0.6563170777611584
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,47,24,24,Garden Grove,338,Y,42.0,68.0,0.6317214103356426
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,15,10,35,Corona,338,Y,42.0,68.0,0.7219813039101682
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,10,33,25,Hayward,338,Y,42.0,68.0,0.43617993414880424
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,22,30,3,Lancaster,338,Y,42.0,68.0,0.3734411285144608
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,19,41,17,Salinas,338,Y,42.0,68.0,0.4860565323022595
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,21,46,15,Palmdale,338,Y,42.0,68.0,0.1694818141429041
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,40,13,12,Sunnyvale,338,Y,42.0,68.0,0.10791826032122798
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,18,33,32,Pomona,338,Y,42.0,68.0,0.011840062255929977
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,39,11,43,Escondido,338,Y,42.0,68.0,0.878758816958996
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,28,12,22,Torrance,338,Y,42.0,68.0,0.46026869406402554
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,6,23,50,Roseville,338,Y,42.0,68.0,0.37509066581746714
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,14,26,12,Pasadena,338,Y,42.0,68.0,0.847835892378561
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,7,32,11,Orange,338,Y,42.0,68.0,0.8096481091241006
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,4,47,34,Fullerton,338,Y,42.0,68.0,0.06569920106140824
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,6,37,42,Visalia,338,Y,42.0,68.0,0.15434465832724853
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,28,13,26,Santa Clara,338,Y,42.0,68.0,0.5951581032360519
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,50,35,46,Concord,338,Y,42.0,68.0,0.6671035160840872
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,30,23,23,Thousand Oaks,338,Y,42.0,68.0,0.5849085915202878
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,50,41,36,Simi Valley,338,Y,42.0,68.0,0.14326266215226557
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,29,23,44,Victorville,338,Y,42.0,68.0,0.34880248935100966
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,37,32,33,Vallejo,338,Y,42.0,68.0,0.19841983252265954
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,47,49,22,Berkeley,338,Y,42.0,68.0,0.4203190674210079
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,47,14,50,Fairfield,338,Y,42.0,68.0,0.8064015738143695
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,6,23,46,Murrieta,338,Y,42.0,68.0,0.2797940477554804
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,34,22,1,El Monte,338,Y,42.0,68.0,0.4470471101014337
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,37,9,37,Carlsbad,338,Y,42.0,68.0,0.6196388616529318
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,39,38,32,Temecula,338,Y,42.0,68.0,0.8445958024021829
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,38,28,25,Clovis,338,Y,42.0,68.0,0.4724590247040676
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,45,46,43,Costa Mesa,338,Y,42.0,68.0,0.381027163957911
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,46,8,25,Antioch,338,Y,42.0,68.0,0.6186726664472157
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,15,7,6,Downey,338,Y,42.0,68.0,0.20930278841153155
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,42,9,1,Richmond,338,Y,42.0,68.0,0.26609191889227446
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,13,8,19,Jurupa Valley,338,Y,42.0,68.0,0.7866654525970093
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,10,22,21,Ventura,338,Y,42.0,68.0,0.25567309964081825
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,44,36,42,Inglewood,338,Y,42.0,68.0,0.8829594005000473
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,43,40,8,Santa Maria,338,Y,42.0,68.0,0.10439327208257126
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,10,7,34,Daly City,338,Y,42.0,68.0,0.7897986282570845
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,36,6,9,West Covina,338,Y,42.0,68.0,0.2393310212364363
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,28,26,11,San Mateo,338,Y,42.0,68.0,0.361606269971495
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,37,2,20,Norwalk,338,Y,42.0,68.0,0.542150746422528
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,17,13,36,Rialto,338,Y,42.0,68.0,0.2411388581645476
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,41,1,26,Chico,338,Y,42.0,68.0,0.9506727233255411
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,23,5,11,El Cajon,338,Y,42.0,68.0,0.4792650914775456
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,46,9,16,Burbank,338,Y,42.0,68.0,0.7903764814483316
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,23,39,4,Vista,338,Y,42.0,68.0,0.730328010490856
11F4N424,P89W4D8321,07/09/17,07/09/18,5,CA,34.0194°N 118.4108°W,3318,34000,80,3238,85V,40,16,21,Vacaville,338,Y,42.0,68.0,0.462934711285065
11H5C660,P93X6H3383,22/02/16,22/02/17,5,IL,41.8376°N 87.6818°W,3434,35000,190,3244,81Z,36,4,37,Chicago,325,Y,11.0,86.0,0.59061899010501
11H5C660,P93X6H3383,22/02/16,22/02/17,5,IL,41.8376°N 87.6818°W,3434,35000,190,3244,81Z,19,26,48,Aurora,325,Y,11.0,86.0,0.8975957222926068
11H5C660,P93X6H3383,22/02/16,22/02/17,5,IL,41.8376°N 87.6818°W,3434,35000,190,3244,81Z,31,23,17,Naperville,325,Y,11.0,86.0,0.3640801880346502
11H5C660,P93X6H3383,22/02/16,22/02/17,5,IL,41.8376°N 87.6818°W,3434,35000,190,3244,81Z,24,48,6,Joliet,325,Y,11.0,86.0,0.29476183406108475
11H5C660,P93X6H3383,22/02/16,22/02/17,5,IL,41.8376°N 87.6818°W,3434,35000,190,3244,81Z,40,22,42,Rockford,325,Y,11.0,86.0,0.5648056568981246
11H5C660,P93X6H3383,22/02/16,22/02/17,5,IL,41.8376°N 87.6818°W,3434,35000,190,3244,81Z,15,42,48,Springfield,325,Y,11.0,86.0,0.567897100307447
11H5C660,P93X6H3383,22/02/16,22/02/17,5,IL,41.8376°N 87.6818°W,3434,35000,190,3244,81Z,50,3,46,Elgin,325,Y,11.0,86.0,0.8730019760722251
11H5C660,P93X6H3383,22/02/16,22/02/17,5,IL,41.8376°N 87.6818°W,3434,35000,190,3244,81Z,1,14,20,Peoria,325,Y,11.0,86.0,0.6868899839881228
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,3,35,42,Houston,337,N,40.0,80.0,0.2473346356498995
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,45,28,16,San Antonio,337,N,40.0,80.0,0.2818909501699144
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,11,2,17,Dallas,337,N,40.0,80.0,0.11125869533183862
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,24,24,46,Austin,337,N,40.0,80.0,0.02957080222705212
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,38,28,49,Fort Worth,337,N,40.0,80.0,0.5829601497498325
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,39,19,40,El Paso,337,N,40.0,80.0,0.2503525304551848
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,23,13,10,Arlington,337,N,40.0,80.0,0.6508853180284391
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,22,24,37,Corpus Christi,337,N,40.0,80.0,0.8666002406978804
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,33,40,40,Plano,337,N,40.0,80.0,0.43909246399676477
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,25,27,38,Laredo,337,N,40.0,80.0,0.9675686238117955
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,39,16,49,Lubbock,337,N,40.0,80.0,0.8124199870973376
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,29,13,41,Garland,337,N,40.0,80.0,0.4199359312527093
11K5I719,P40P8X5540,30/11/18,30/11/19,5,TX,29.7866°N 95.3909°W,1555,16000,378,1177,35M,30,13,25,Irving,337,N,40.0,80.0,0.5127435864242439
